S.No,DstMAC,SrcMAC,SrcAd,DstAd,SrcPort,DstPort,PacketLength
237,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:e2,172.50.34.54,172.50.33.62,,,60
238,1:80:c2:0:0:0,50:17:ff:48:b3:fb,16962,768,60
239,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.9,50551,445,178
240,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.9,172.50.33.184,445,50551,474
241,ff:ff:ff:ff:ff:ff,0:15:5d:21:d1:1,172.50.32.223,172.50.33.129,,,60
242,ff:ff:ff:ff:ff:ff,0:15:5d:19:a1:29,172.50.33.215,172.50.33.214,,,60
243,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.9,50551,445,54
244,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.34.119,,,60
245,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.185,,,60
246,d4:be:d9:e8:4c:a7,c8:1f:66:20:e6:12,172.50.33.246,172.50.33.184,60458,9100,66
247,c8:1f:66:20:e6:12,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.33.246,9100,60458,54
248,ff:ff:ff:ff:ff:ff,0:15:5d:20:c6:0,172.50.33.204,172.50.33.214,,,60
249,ff:ff:ff:ff:ff:ff,0:15:5d:22:63:1,172.50.32.141,172.50.33.61,,,60
250,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.1,,,60
251,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.32.100,,,60
252,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,192.168.56.1,172.50.40.9,50584,389,66
253,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:e,172.50.33.42,172.50.33.95,,,60
254,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:1d,172.50.32.88,172.50.32.122,,,60
255,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.34.150,,,60
256,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:2a,172.50.34.20,172.50.32.142,,,60
257,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.32.101,,,60
258,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:12,172.50.32.61,172.50.32.130,,,60
259,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:29,172.50.34.19,172.50.34.21,,,60
260,ff:ff:ff:ff:ff:ff,0:15:5d:42:d0:3,172.50.33.96,172.50.33.95,,,60
261,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:e6,172.50.34.128,172.50.34.115,,,60
262,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.179,,,60
263,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.7,,,60
264,d4:be:d9:e8:4c:a7,c8:1f:66:20:e6:12,172.50.33.246,172.50.33.184,60458,9100,66
265,c8:1f:66:20:e6:12,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.33.246,9100,60458,54
266,ff:ff:ff:ff:ff:ff,0:1e:c0:b6:8d:96,192.168.40.92,192.168.40.92,,,60
267,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:e2,172.50.34.54,172.50.33.62,,,60
268,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:5c,172.50.33.58,169.254.169.254,,,60
269,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,13.107.21.200,50461,443,54
270,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,204.79.197.222,50466,443,54
271,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,13.107.253.254,50464,443,54
272,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,204.79.197.254,50465,443,54
273,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,131.253.33.254,50462,443,54
274,ff:ff:ff:ff:ff:ff,0:15:5d:22:63:1,172.50.32.141,172.50.33.61,,,60
275,ff:ff:ff:ff:ff:ff,d0:67:e5:17:dd:68,172.50.34.84,172.50.32.93,,,60
276,ff:ff:ff:ff:ff:ff,0:15:5d:19:a1:29,172.50.33.215,172.50.33.214,,,60
277,ff:ff:ff:ff:ff:ff,0:1e:c0:b6:8b:17,192.168.40.91,192.168.40.91,,,60
278,ff:ff:ff:ff:ff:ff,0:15:5d:19:a1:2a,172.50.33.203,172.50.33.77,,,60
279,ff:ff:ff:ff:ff:ff,d4:be:d9:c1:88:a7,172.50.33.77,172.50.33.203,,,60
280,ff:ff:ff:ff:ff:ff,0:15:5d:20:c6:0,172.50.33.204,172.50.33.214,,,60
281,ff:ff:ff:ff:ff:ff,0:15:5d:19:a1:35,172.50.34.18,172.50.34.25,,,60
282,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.32.100,,,60
283,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:5c,172.50.33.58,169.254.169.254,,,60
284,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:e,172.50.33.42,172.50.33.95,,,60
285,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:1d,172.50.32.88,172.50.32.122,,,60
286,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.185,,,60
287,ff:ff:ff:ff:ff:ff,c:c4:7a:fd:b5:e9,172.50.32.81,172.50.33.185,,,60
288,ff:ff:ff:ff:ff:ff,f8:b1:56:b6:39:a5,172.50.33.185,172.50.32.81,,,60
289,ff:ff:ff:ff:ff:ff,0:15:5d:21:d1:1,172.50.32.223,172.50.32.119,,,60
290,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.34.150,,,60
291,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:2a,172.50.34.20,172.50.32.142,,,60
292,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:12,172.50.32.61,172.50.32.130,,,60
293,1:0:c:cc:cc:cd,34:a8:4e:aa:a5:2b,43690,768,64
294,ff:ff:ff:ff:ff:ff,0:15:5d:42:d0:3,172.50.33.96,172.50.33.95,,,60
295,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:e6,172.50.34.128,172.50.34.115,,,60
296,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.179,,,60
297,33:33:0:1:0:2,5c:f9:dd:70:3:53,fe:80:82:14:bf:34:90:e0,ff:2:2:156
298,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.7,,,60
299,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.32.61,,,60
300,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:e2,172.50.34.54,172.50.33.62,,,60
301,1:80:c2:0:0:0,50:17:ff:48:b3:fb,16962,768,60
302,ff:ff:ff:ff:ff:ff,0:15:5d:22:63:1,172.50.32.141,172.50.33.61,,,60
303,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,103.250.168.200,50585,443,66
304,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50585,66
305,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,103.250.168.200,50585,443,54
306,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,103.250.168.200,50585,443,237
307,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50585,60
308,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:db,172.50.34.101,172.50.33.61,,,60
309,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.185,,,60
310,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50585,1514
311,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50585,1514
312,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50585,1230
313,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,103.250.168.200,50585,443,54
314,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50585,1407
315,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,103.250.168.200,50585,443,54
316,ff:ff:ff:ff:ff:ff,0:15:5d:20:c6:0,172.50.33.204,172.50.33.214,,,60
317,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,103.250.168.200,50585,443,180
318,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50585,60
319,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50585,105
320,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.8,50586,88,66
321,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.8,172.50.33.184,88,50586,66
322,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.8,50586,88,54
323,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.8,50586,88,313
324,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.8,172.50.33.184,88,50586,160
325,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.8,50586,88,54
326,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.8,50587,88,66
327,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.8,172.50.33.184,88,50586,60
328,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.8,172.50.33.184,88,50586,60
329,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.8,172.50.33.184,88,50587,66
330,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.8,50587,88,54
331,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.8,50587,88,313
332,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.8,172.50.33.184,88,50587,160
333,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.8,50587,88,54
334,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,103.250.168.200,50585,443,1142
335,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.8,172.50.33.184,88,50587,60
336,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.8,172.50.33.184,88,50587,60
337,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50585,60
338,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.32.100,,,60
339,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50585,629
340,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,103.250.168.200,50585,443,1806
341,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50585,60
342,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50585,60
343,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.62,65244,5061,139
344,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:5c,172.50.33.58,169.254.169.254,,,60
345,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.62,172.50.33.184,5061,65244,60
346,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:e,172.50.33.42,172.50.33.95,,,60
347,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:1d,172.50.32.88,172.50.32.122,,,60
348,1:0:5e:7f:ff:fa,0:15:17:bc:6a:3f,192.168.2.97,239.255.255.250,63145,1900,215
349,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.34.150,,,60
350,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:2a,172.50.34.20,172.50.32.142,,,60
351,33:33:0:1:0:2,d4:be:d9:ea:d4:4d,fe:80:58:c1:fd:60:19:a8,ff:2:2:172
352,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:12,172.50.32.61,172.50.32.130,,,60
353,ff:ff:ff:ff:ff:ff,0:15:5d:21:96:2a,172.50.34.51,172.50.32.10,,,60
354,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.34.51,,,60
355,ff:ff:ff:ff:ff:ff,0:15:5d:21:96:2a,172.50.34.51,172.50.32.2,,,60
356,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:e6,172.50.34.128,172.50.34.115,,,60
357,ff:ff:ff:ff:ff:ff,0:15:5d:42:d0:3,172.50.33.96,172.50.33.95,,,60
358,33:33:0:1:0:2,5c:f9:dd:70:3:53,fe:80:82:14:bf:34:90:e0,ff:2:2:156
359,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.7,,,60
360,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:34,172.50.34.104,172.50.32.10,,,60
361,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.34.104,,,60
362,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:34,172.50.34.104,172.50.32.2,,,60
363,ff:ff:ff:ff:ff:ff,0:1e:c0:b6:8d:96,192.168.40.92,192.168.40.92,,,60
364,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,13.33.169.52,50524,443,100
365,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,13.33.169.52,172.50.33.184,443,50524,60
366,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,13.33.169.52,50524,443,85
367,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,13.33.169.52,50524,443,54
368,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,13.33.169.52,172.50.33.184,443,50524,60
369,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,13.33.169.52,172.50.33.184,443,50524,60
370,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,13.33.169.52,50524,443,54
371,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:db,172.50.34.101,172.50.33.61,,,60
372,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:e2,172.50.34.54,172.50.33.62,,,60
373,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.11,172.50.33.184,443,65448,139
374,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.11,172.50.33.184,443,65448,1179
375,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.11,65448,443,54
376,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.34.143,,,60
377,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.185,,,60
378,ff:ff:ff:ff:ff:ff,0:1e:c0:b6:8b:17,192.168.40.91,192.168.40.91,,,60
379,ff:ff:ff:ff:ff:ff,0:15:5d:20:c6:0,172.50.33.204,172.50.33.214,,,60
380,ff:ff:ff:ff:ff:ff,0:15:5d:22:63:1,172.50.32.141,172.50.33.61,,,60
381,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.32.100,,,60
382,ff:ff:ff:ff:ff:ff,0:15:5d:38:a5:0,172.50.33.83,172.50.34.0,,,60
383,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:1d,172.50.32.88,172.50.32.122,,,60
384,1:0:5e:7f:ff:fa,0:15:17:bc:6a:3f,192.168.2.97,239.255.255.250,63145,1900,215
385,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:e,172.50.33.42,172.50.33.95,,,60
386,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:12,172.50.32.61,172.50.32.130,,,60
387,1:0:c:cc:cc:cd,34:a8:4e:aa:a5:2b,43690,768,64
388,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:29,172.50.34.19,172.50.34.21,,,60
389,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.174,,,60
390,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:e6,172.50.34.128,172.50.34.115,,,60
391,ff:ff:ff:ff:ff:ff,0:15:5d:42:d0:3,172.50.33.96,172.50.33.95,,,60
392,ff:ff:ff:ff:ff:ff,b8:ca:3a:8a:10:dd,172.50.32.70,172.50.33.132,,,60
393,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.217.166.35,50527,443,100
394,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.217.166.35,172.50.33.184,443,50527,60
395,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.7,,,60
396,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.217.166.35,172.50.33.184,443,50527,100
397,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:db,172.50.34.101,172.50.33.61,,,60
398,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.217.166.35,50527,443,54
399,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:e2,172.50.34.54,172.50.33.62,,,60
400,1:80:c2:0:0:0,50:17:ff:48:b3:fb,16962,768,60
401,ff:ff:ff:ff:ff:ff,0:15:5d:22:63:1,172.50.32.141,172.50.33.61,,,60
402,ff:ff:ff:ff:ff:ff,0:15:5d:21:d1:1,172.50.32.223,172.50.33.129,,,60
S.No,DstMAC,SrcMAC,SrcAd,DstAd,SrcPort,DstPort,PacketLength
1,d4:61:9d:2b:dd:9a,ea:c7:60:dd:34:2b,fe:80:64:3e:12:b6:64:11,ff:2:16:90
2,d4:61:9d:2b:dd:9a,ea:c7:60:dd:34:2b,fe:80:64:3e:12:b6:64:11,ff:2:16:90
